description,generic_name,how_to_take,name,side_effects,source,source_url,warnings
<p>Pyrithione is used to help control the symptoms of dandruff and seborrheic dermatitis of the scalp.</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/cons/pyrithione.html"">pyrithione</a> [ <i>pir-i-THYE-one</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-topical-agents.html"">Miscellaneous topical agents</a></p>","['<p>For best results, use this medicine at least 2 times a week or as directed by your doctor.</p>']",DHS Zinc (Topical),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/dhs-zinc.html,"['<p>If your condition does not get better after regular use of this medicine, or if it gets worse, check with your doctor.</p>']"
"<p><a href=""/mtm/coal-tar-topical.html"" data-type=""auto"">Coal tar</a> is a by-product of coal processing.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/coal-tar-topical.html"">coal tar topical</a> [ <i>KOL-TAR-TOP-ik-al</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/anti-dandruff.html"">Anti-Dandruff</a>, <a href=""/mtm/balnetar.html"">Balnetar</a>, Coal Tar, DHS Tar Shampoo, <a href=""/mtm/ionil-t.html"">Ionil T</a>, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 23 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Medicasp, MG217 Medicated Tar, MG217 Psoriasis, Neutrogena T/Derm, Neutrogena T/Gel, Neutrogena T/Gel Extra Strength, Oxipor VHC, PC Tar, Psoriasin, Psoriatar, Scytera, T/Gel Conditioner, Tarsum, Tera Gel, Therapeutic, Theraplex T, Elta Tar, Tegrin Medicated
</span><br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-topical-agents.html"">Miscellaneous topical agents</a></p>",[],DHS Tar Shampoo,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/dhs-tar-shampoo.html,"['<p>Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.</p>']"
"<p>Coal tar is used to treat eczema, psoriasis, seborrheic dermatitis, and other skin disorders.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/coal-tar-topical.html"">coal tar</a> (kole tar)<br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-topical-agents.html"">Miscellaneous topical agents</a></p>","['<p> Use this medicine only as directed. Do not use more of it and do not use it more often than recommended on the label, unless otherwise directed by your doctor. To do so may increase the chance of side effects.</p>']",DHS Tar (Topical),"<p>In animal studies, coal tar has been shown to increase the chance of skin cancer.</p>",drugs.com,https://www.drugs.com/cons/dhs-tar.html,"['<p>If this medicine is used on the scalp, it may temporarily discolor blond, bleached, or tinted hair.</p>']"
"<p><a href=""/mtm/salicylic-acid-topical.html"" data-type=""auto"">Salicylic acid</a> is a keratolytic (peeling agent) that causes shedding of the outer layer of skin.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/salicylic-acid-topical.html"">salicylic acid topical</a> [ <i>SAL-i-SIL-ik-AS-id-TOP-ik-al</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/acnevir.html"">Acnevir</a>, <a href=""/bensal-hp.html"">Bensal HP</a>, CeraVe SA, <a href=""/mtm/cerave-sa-renewing.html"">CeraVe SA Renewing</a>, Clean and Clear Blackhead Eraser Facial Scrub, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 65 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Compound W, Compound W One Step Plantar Pads, Compound W One Step Wart Remover, Compound W Total Care, Denorex Extra Strength Shampoo Plus Conditioner, DermalZone, Dermarest Psoriasis Medicated, Dermarest Psoriasis Medicated Moisturizer, Dermarest Psoriasis Overnight Treatment, Dermarest Psoriasis Shampoo Plus Conditioner, Dermarest Psoriasis Skin Treatment, DHS Sal, Dr Scholl's Callus Removers, Dr Scholl's Clear Away Plantar Wart, Dr Scholl's Clear Away Wart Remover, Dr Scholl's Corn Removers Small, Dr Scholl's Dual Action Freeze Away Wart Remover, Dr Scholl's Freeze Away Wart Remover, Duofilm, Duoplant, Freezone Corn Remover, Gordofilm, Keralyt, Keralyt Scalp, KeralytGel, Mediplast, Mosco Corn and Callus Remover, Neutrogena Acne Wash Oil Free, Neutrogena Body Clear Body Wash, Neutrogena Healthy Scalp Dandruff Shampoo, Neutrogena T/Sal, Nizoral Psoriasis Shampoo and Conditioner, Oxy Balance Daily Cleaning, Normal Skin, Oxy Balance Deep Pore Cleansing, Gentle, Oxy Face Scrub, Oxy Face Scrub Chill Factor, P and S, Propa P.H. Acne Mask, Propa P.H. Foaming Face Wash, Psoriasin Medicated Wash, Salex, Salvax, Scalpicin Scalp Relief, Selsun Blue 3in1, Selsun Blue Naturals Itchy Dry Scalp, Stri-Dex, Stri-Dex Clear Gel, Stri-Dex Dual Textured, Stri-Dex Face Wash, Stri-Dex Maximum Strength, Stri-Dex Sensitive Skin, Stri-Dex Super Scrub, UltraSal-ER, Virasal, Wart Remover, Wart Stick, Xalix, Dr Scholl's Corn Removers
</span><br>
<b>Drug classes:</b> <a href=""/drug-class/topical-acne-agents.html"">Topical acne agents</a>, <a href=""/drug-class/topical-keratolytics.html"">Topical keratolytics</a></p>","['<p>DHS Sal is available in many different forms, such as liquid, gel, lotion, cream, ointment, foam, soap, shampoo, cloth pads, and skin patches.</p>']",DHS Sal,"<p>DHS Sal can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward.</p>",drugs.com,https://www.drugs.com/mtm/dhs-sal.html,"['<p><b>DHS Sal can cause a rare but serious allergic reaction or severe skin irritation.</b> Stop using this medicine and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat.</p>']"
"<p>Dhivy is a combination medicine used to treat symptoms of <a href=""/health-guide/parkinson-s-disease.html"" data-type=""auto"">Parkinson's disease</a>, such as stiffness or tremors.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/carbidopa-and-levodopa.html"">carbidopa and levodopa</a> [ <i>KAR-bi-DOE-pa-and-LEE-voe-DOE-pa</i> ]<br>
<b>Brand names:</b> Dhivy, <a href=""/rytary.html"">Rytary</a>, <a href=""/sinemet.html"">Sinemet</a>, <a href=""/mtm/sinemet-cr.html"">Sinemet CR</a><br>
<b>Drug class:</b> <a href=""/drug-class/dopaminergic-antiparkinsonism-agents.html"">Dopaminergic antiparkinsonism agents</a></p>","['<p>If you already take levodopa, you must stop taking it at least 12 hours before you start taking Dhivy.</p>']",Dhivy,"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/dhivy.html,"['<p>Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as <a href=""/mtm/isocarboxazid.html"" data-type=""auto"">isocarboxazid</a>, <a href=""/mtm/linezolid-oral-injection.html"" data-type=""auto"">linezolid</a>, <a href=""/mtm/methylene-blue-injection.html"" data-type=""auto"">methylene blue</a> injection, <a href=""/mtm/phenelzine.html"" data-type=""auto"">phenelzine</a>, or <a href=""/mtm/tranylcypromine.html"" data-type=""auto"">tranylcypromine</a>.</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/ganirelix.html"">ganirelix acetate</a><br>
<b>Dosage form:</b> injection, solution<br>
<b>Drug class:</b> <a href=""/drug-class/gonadotropin-releasing-hormone-antagonists.html"">Gonadotropin-releasing hormone antagonists</a></p>",[],Fyremadel Prescribing Information,,drugs.com,https://www.drugs.com/pro/fyremadel.html,[]
<p>Pegfilgrastim-pbbk injection is used to treat neutropenia (low white blood cells) that is caused by cancer medicines. It is a synthetic (man-made) form of a substance that is naturally produced in your body called a colony stimulating factor. Pegfilgrastim-pbbk helps the bone marrow to make new white blood cells. </p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/pegfilgrastim.html"">pegfilgrastim-pbbk</a> [ <i>peg-fil-GRA-stim-- pbbk</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/colony-stimulating-factors.html"">Colony stimulating factors</a></p>","['<p>A nurse or other trained health professional may give you this medicine. It is given as a shot under the skin of your upper arm, upper outer buttock, stomach, or thigh. You or your caregiver may be trained to prepare and inject this medicine at home. Be sure that you understand how to use it. </p>']",Fylnetra (Subcutaneous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/fylnetra-pegfilgrastim-pbbk-subcutaneous.html,"[""<p><i>It is very important that your doctor check your or your child's progress at regular visits</i> to make sure this medicine is working properly. Blood and urine tests may be needed to check for unwanted effects. </p>""]"
<p>Pegfilgrastim injection is used to treat neutropenia (low white blood cells) that is caused by cancer medicines. It is a synthetic (man-made) form of a substance that is naturally produced in your body called a colony stimulating factor. Pegfilgrastim helps the bone marrow to make new white blood cells. </p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/pegfilgrastim.html"">pegfilgrastim</a> [ <i>peg-fil-GRA-stim</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/colony-stimulating-factors.html"">Colony stimulating factors</a></p>",['<p>A nurse or other trained health professional may give you this medicine. It is given as a shot under your skin. </p>'],Fylnetra (Subcutaneous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/fylnetra-pegfilgrastim-subcutaneous.html,"[""<p><i>It is very important that your doctor check you or your child's progress at regular visits</i> to make sure that this medicine is working properly. Blood tests may be needed to check for unwanted effects. </p>""]"
"<p>Fylnetra is used to prevent <a href=""/cg/neutropenia.html"" data-type=""auto"">neutropenia</a> (a lack of certain white blood cells) that is caused by receiving chemotherapy.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/pegfilgrastim.html"">pegfilgrastim</a> [ <i>PEG-fil-GRAS-tim</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/fulphila.html"">Fulphila</a>, Fylnetra, <a href=""/neulasta.html"">Neulasta</a>, Neulasta Onpro Kit, <a href=""/mtm/nyvepria.html"">Nyvepria</a>, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 8 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Stimufend, Udenyca, Ziextenzo
</span><br>
<b>Drug class:</b> <a href=""/drug-class/colony-stimulating-factors.html"">Colony stimulating factors</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed. Fylnetra should not be given within 14 days before or 24 hours after you receive chemotherapy.</p>'],Fylnetra,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives, skin <a href=""/health-guide/rash.html"" data-type=""auto"">rash</a>, <a href=""/condition/hyperhidrosis.html"" data-type=""auto"">sweating</a>, warmth or tingly feeling; dizziness, fast heartbeats; <a href=""/cg/asthma.html"" data-type=""auto"">wheezing</a>, difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fylnetra.html,"['<p>Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.</p>']"
<p>Fycompa is an anticonvulsant used to treat seizures in adults and children.</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/perampanel.html"">perampanel</a> [ <i>per-AM-pa-nel</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/ampa-receptor-antagonists.html"">AMPA receptor antagonists</a></p>",['<p><b>Usual Adult Dose of Fycompa for Seizures:</b></p>'],Fycompa,"<p>Get emergency medical help if you have <b>signs of an allergic reaction to Fycompa:</b> <a href=""/cg/urticaria.html"">hives</a>; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/fycompa.html,"['<p>Some people taking Fycompa have had serious psychotic effects, especially when starting this medicine or changing doses. Stay alert to changes in your mood or symptoms.</p>']"
"<p><a href=""/cdi/ethinyl-estradiol.html"" data-type=""auto"">Ethinyl estradiol</a> is a form of estrogen. Estrogen is a female sex hormone necessary for many processes in the body.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/ethinyl-estradiol-and-norethindrone-hrt.html"">ethinyl estradiol and norethindrone (HRT)</a> [ <i>ETH-in-ill-ESS-tra-DYE-ole-and-nor-ETH-in-drone</i> ]<br>
<b>Brand names:</b> Fyavolv, <a href=""/mtm/jinteli-hrt.html"">Jinteli</a>, Jevantique Lo HRT<br>
<b>Drug class:</b> <a href=""/drug-class/contraceptives.html"">Contraceptives</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],Fyavolv (HRT),"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fyavolv-hrt.html,"['<p><b>You should not use this medicine if you have:</b> undiagnosed vaginal bleeding, <a href=""/condition/liver-disease.html"" data-type=""auto"">liver disease</a>, a <a href=""/condition/bleeding.html"" data-type=""auto"">bleeding disorder</a>, if you will have major <a href=""/condition/surgery.html"" data-type=""auto"">surgery</a>, or if you have ever had a heart attack, a stroke, a blood clot, or <a href=""/health-guide/cancer.html"" data-type=""auto"">cancer</a> of the breast, uterus/cervix, or vagina.</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/ethinyl-estradiol-and-norethindrone-hrt.html"">norethindrone acetate and ethinyl estradiol</a><br>
<b>Dosage form:</b> tablet, film coated<br>
<b>Drug class:</b> <a href=""/drug-class/contraceptives.html"">Contraceptives</a></p>",[],Fyavolv Prescribing Information,,drugs.com,https://www.drugs.com/pro/fyavolv.html,[]
"<p>Fyarro is used to treat adults with a certain type of perivascular epithelioid cell tumor (<a href=""/condition/malignant-perivascular-epithelioid-cell-tumor.html"" data-type=""auto"">PEComa</a>).</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/sirolimus-protein-bound.html"">sirolimus protein-bound</a> [ <i>sir-OH-li-mus-PROE-teen-bownd</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/mtor-inhibitors.html"">MTOR inhibitors</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose.</p>'],Fyarro,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fyarro.html,"['<p>Both men and women using  Fyarro should use effective <a href=""/condition/contraception.html"" data-type=""auto"">birth control</a> to prevent pregnancy. Fyarro can harm an unborn baby if the mother or father is using this medicine.</p>']"
<p>Dihydroergotamine injection is used to treat migraine headaches with or without aura and cluster headaches. Dihydroergotamine is not an ordinary pain reliever. It will not relieve pain other than from migraine headaches. </p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/dihydroergotamine-injection.html"">dihydroergotamine</a> [ <i>dye-hye-droe-er-GOT-a-meen-MES-i-late</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/antimigraine-agents.html"">Antimigraine agents</a></p>","['<p>A nurse or other trained health professional will give you this medicine in a hospital. This medicine is given as a shot into one of your muscles, under your skin (usually in the middle of the thighs), or through a needle placed in one of your vein. </p>']",D.H.E. 45 (Injection),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/d-h-e-45.html,['<p><i>It is very important that your doctor check your progress closely</i> while you are receiving this medicine. This is to see if the medicine is working properly and to allow for a change in the dose. Blood tests may be needed to check for any unwanted effects. </p>']
"<p>D.H.E. 45 is an ergot alkaloid medicine that is used to treat a migraine or cluster <a href=""/cg/tension-headache.html"" data-type=""auto"">headache</a> attack.  D.H.E. 45 will not prevent headaches or reduce the number of attacks.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/dihydroergotamine-injection.html"">dihydroergotamine</a> (injection) [ <i>dye-HYE-droe-er-GOT-a-meen</i> ]<br>
<b>Brand name:</b> D.H.E. 45 injection<br>
<b>Drug class:</b> <a href=""/drug-class/antimigraine-agents.html"">Antimigraine agents</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],D.H.E. 45 (injection),"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/d-h-e-45-injection.html,['<p>Tell your doctor about all your other medicines. Some drugs should not be used with D.H.E. 45.</p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> lidocaine hydrochloride<br>
<b>Dosage form:</b> kit<br>
<b>Drug class:</b> <a href=""/drug-class/topical-anesthetics.html"">Topical anesthetics</a></p>",[],DX2 OraGenomic Medicated DNA Prescribing Information,,drugs.com,https://www.drugs.com/pro/dx2-oragenomic-medicated-dna.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> lidocaine hydrochloride<br>
<b>Dosage form:</b> kit<br>
<b>Drug class:</b> <a href=""/drug-class/topical-anesthetics.html"">Topical anesthetics</a></p>",[],DX1 OraGenomic Medicated DNA Prescribing Information,,drugs.com,https://www.drugs.com/pro/dx1-oragenomic-medicated-dna.html,[]
"<p><a href=""/cdi/fml.html"" data-type=""auto"">FML</a> S.O.P. (for the eyes) is a steroid medicine used to treat eye inflammation caused by <a href=""/condition/surgery.html"" data-type=""auto"">surgery</a>, injury, or other conditions.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone ophthalmic</a> [ <i>FLURE-oh-METH-oh-lone-off-THAL-mik</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/flarex.html"">Flarex</a>, <a href=""/mtm/fml-forte-liquifilm.html"">FML Forte Liquifilm</a>, <a href=""/mtm/fml-liquifilm.html"">FML Liquifilm</a>, FML S.O.P.<br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],FML S.O.P.,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fml-s-o-p.html,"['<p>You should not use  FML S.O.P. if you have any type of bacterial, fungal, or <a href=""/condition/viral-infection.html"" data-type=""auto"">viral infection</a> of the eye (including herpes).</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone</a><br>
<b>Dosage form:</b> ophthalmic ointment<br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",[],FML Ophthalmic Ointment Prescribing Information,,drugs.com,https://www.drugs.com/pro/fml-ophthalmic-ointment.html,[]
"<p><a href=""/cdi/fml.html"" data-type=""auto"">FML</a> Liquifilm (for the eyes) is a steroid medicine used to treat eye inflammation caused by <a href=""/condition/surgery.html"" data-type=""auto"">surgery</a>, injury, or other conditions.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone ophthalmic</a> [ <i>FLURE-oh-METH-oh-lone-off-THAL-mik</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/flarex.html"">Flarex</a>, <a href=""/mtm/fml-forte-liquifilm.html"">FML Forte Liquifilm</a>, FML Liquifilm, <a href=""/mtm/fml-s-o-p.html"">FML S.O.P.</a><br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],FML Liquifilm,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fml-liquifilm.html,"['<p>You should not use  FML Liquifilm if you have any type of bacterial, fungal, or <a href=""/condition/viral-infection.html"" data-type=""auto"">viral infection</a> of the eye (including herpes).</p>']"
"<p><a href=""/cdi/fml.html"" data-type=""auto"">FML</a> Forte Liquifilm (for the eyes) is a steroid medicine used to treat eye inflammation caused by <a href=""/condition/surgery.html"" data-type=""auto"">surgery</a>, injury, or other conditions.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone ophthalmic</a> [ <i>FLURE-oh-METH-oh-lone-off-THAL-mik</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/flarex.html"">Flarex</a>, FML Forte Liquifilm, <a href=""/mtm/fml-liquifilm.html"">FML Liquifilm</a>, <a href=""/mtm/fml-s-o-p.html"">FML S.O.P.</a><br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],FML Forte Liquifilm,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/fml-forte-liquifilm.html,"['<p>You should not use  FML Forte Liquifilm if you have any type of bacterial, fungal, or <a href=""/condition/viral-infection.html"" data-type=""auto"">viral infection</a> of the eye (including herpes).</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone</a><br>
<b>Dosage form:</b> ophthalmic suspension<br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",[],FML Forte Prescribing Information,,drugs.com,https://www.drugs.com/pro/fml-forte.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/fluorometholone-ophthalmic.html"">fluorometholone</a><br>
<b>Dosage form:</b> ophthalmic suspension<br>
<b>Drug class:</b> <a href=""/drug-class/ophthalmic-steroids.html"">Ophthalmic steroids</a></p>",[],FML Prescribing Information,,drugs.com,https://www.drugs.com/pro/fml.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/lidocaine-topical.html"">lidocaine hydrochloride</a><br>
<b>Dosage form:</b> lotion<br>
<b>Drug class:</b> <a href=""/drug-class/topical-anesthetics.html"">Topical anesthetics</a></p>",[],Eha Lotion Prescribing Information,,drugs.com,https://www.drugs.com/pro/eha-lotion.html,[]
"<p><a href=""/egrifta.html"" data-type=""auto"">Egrifta SV</a> is made with growth hormone-releasing factor (GRF).</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/tesamorelin.html"">tesamorelin</a> [ <i>TES-a-moe-REL-in</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/growth-hormones.html"">Growth hormones</a></p>",[],Egrifta SV,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/egrifta-sv.html,['<p><b>Egrifta SV can harm an unborn baby or cause birth defects. Do not use if you are pregnant.</b></p>']
<p>Egrifta is made with growth hormone-releasing factor (GRF).</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/tesamorelin.html"">tesamorelin</a> [ <i>TES-a-moe-REL-in</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/growth-hormones.html"">Growth hormones</a></p>",[],Egrifta,"<p>Get emergency medical help if you have any of these signs of an allergic reaction to Egrifta: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Egrifta and call your doctor at once if you have a serious side effect such as:</p>",drugs.com,https://www.drugs.com/egrifta.html,"['<p>Egrifta can harm an unborn baby or cause birth defects. Do not use if you are pregnant. You should not use Egrifta if you are allergic to tesamorelin, or if you have a history of tumor or surgery of your pituitary gland, a history of head injury or radiation treatment.</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/erythromycin.html"">erythromycin ethylsuccinate</a><br>
<b>Dosage form:</b> tablet, granule for oral suspension<br>
<b>Drug class:</b> <a href=""/drug-class/macrolides.html"">Macrolides</a></p>",[],EES Prescribing Information,,drugs.com,https://www.drugs.com/pro/ees.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/esterified-estrogens-and-methyltestosterone.html"">estrogens, esterified and methyltestosterone</a><br>
<b>Dosage form:</b> tablet, coated<br>
<b>Drug class:</b> <a href=""/drug-class/sex-hormone-combinations.html"">Sex hormone combinations</a></p>",[],EEMT Tablets Prescribing Information,,drugs.com,https://www.drugs.com/pro/eemt-tablets.html,[]
"<p><a href=""/mtm/esterified-estrogens.html"" data-type=""auto"">Esterified estrogens</a> are female <a href=""/drug-class/sex-hormones.html"" data-type=""auto"">sex hormones</a> produced by the ovaries.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/esterified-estrogens-and-methyltestosterone.html"">esterified estrogens and methyltestosterone</a> [ <i>ess-TER-ih-fied-ESS-troe-jenz-and-METH-il-tes-TOS-te-rone</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/covaryx.html"">Covaryx</a>, <a href=""/mtm/covaryx-hs.html"">Covaryx HS</a>, <a href=""/mtm/eemt.html"">EEMT</a>, EEMT HS<br>
<b>Drug class:</b> <a href=""/drug-class/sex-hormone-combinations.html"">Sex hormone combinations</a></p>",['<p>Follow all directions on your prescription label and read all medication guides or instruction sheets. Use the medicine exactly as directed.</p>'],EEMT HS,"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b> (hives, difficult breathing, swelling in your face or throat) <b>or a severe skin reaction</b> (<a href=""/health-guide/fever.html"" data-type=""auto"">fever</a>, <a href=""/condition/sore-throat.html"" data-type=""auto"">sore throat</a>, burning eyes, skin pain, red or purple skin <a href=""/health-guide/rash.html"" data-type=""auto"">rash</a> with blistering and peeling).</p>",drugs.com,https://www.drugs.com/mtm/eemt-hs.html,"['<p><b>You should not use  EEMT HS if you have:</b> undiagnosed vaginal bleeding, severe <a href=""/condition/liver-disease.html"" data-type=""auto"">liver disease</a>, if you will have major <a href=""/condition/surgery.html"" data-type=""auto"">surgery</a>, or if you have ever had a stroke, a blood clot, or <a href=""/health-guide/cancer.html"" data-type=""auto"">cancer</a> of the breast, uterus/cervix, or vagina.</p>']"
